ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10140,0,0,0,0,0,0,0,0,0,0
10141,10,10,10,10,10,10,10,10,10,10
10142,0,0,0,8,0,0,0,0,0,33
10143,0,0,0,0,0,0,0,0,0,0
10144,0,0,0,0,0,0,0,0,0,0
10145,17,17,17,17,17,17,17,17,17,17
10146,0,0,0,0,0,0,0,0,0,0
10147,8,8,8,8,8,8,8,8,8,8
10148,0,0,0,0,0,0,0,0,0,0
10149,0,0,0,0,0,0,0,0,0,0
10150,0,0,0,0,0,0,0,0,0,0
10151,26,26,26,26,26,26,26,26,26,26
10152,0,0,0,0,0,0,0,0,0,0
10153,38,38,38,38,38,38,38,38,38,38
10154,0,0,0,0,0,0,0,0,0,0
10155,0,25,0,20,0,30,15,14,6,22
10156,0,0,0,0,0,0,0,0,0,0
10157,0,0,0,0,0,0,0,0,0,0
10158,0,0,0,0,0,0,0,0,0,0
10159,0,0,0,0,0,0,0,0,0,0
10160,31,31,31,31,31,31,31,31,31,31
10161,0,0,0,0,0,0,0,0,11,0
10162,0,0,0,0,0,0,28,0,0,0
10163,19,19,19,19,19,19,19,19,19,19
10164,20,19,16,0,0,0,0,0,0,23
10165,13,6,6,6,18,6,6,6,6,6
10166,21,11,7,14,0,7,0,18,0,12
10167,0,0,0,0,0,0,0,0,0,0
10168,0,0,0,0,0,0,0,0,0,0
10169,0,0,0,0,0,0,0,0,0,0
10170,0,0,0,17,0,0,0,0,0,0
10171,19,19,19,19,19,19,19,19,19,19
10172,0,21,24,0,0,24,0,0,6,12
10173,29,0,12,7,0,0,3,12,13,10
10174,17,0,0,10,0,0,0,0,0,0
10176,15,11,11,11,22,11,11,11,27,13
10177,18,18,18,18,18,18,18,18,18,18
10178,0,0,0,0,0,0,0,0,0,0
10179,0,0,0,0,0,0,0,0,5,0
10180,12,17,18,26,0,0,48,0,0,0
10181,0,0,0,0,0,0,13,0,0,0
10182,0,0,0,33,0,0,0,12,0,0
10183,0,0,0,0,0,0,0,0,0,0
10184,15,15,15,15,15,15,15,15,15,15
10185,10,10,10,10,10,10,10,10,10,10
10186,0,0,0,0,0,0,0,0,0,0
10187,0,0,0,0,0,0,0,0,0,0
10188,0,0,0,0,0,0,0,0,0,0
10190,0,0,0,0,0,0,0,0,0,0
10191,0,0,0,0,0,0,0,0,0,0
10192,0,0,0,0,0,0,0,0,0,0
